key,korean_text,occurrence_count,locations
app.닫기,닫기,195,web/app.js:330 | web/index.html:159 | web/index.html:159 | web/index.html:181 | web/index.html:181
app.먼저_작품을_선택해_주세요,먼저 작품을 선택해 주세요.,78,web/app.js:6604 | web/app.js:6691 | web/app.js:6726 | web/app.js:7708 | web/app.js:7870
index.메인에서_보기,메인에서 보기,49,web/index.html:406 | web/index.html:406 | web/index.html:406 | web/index.html:406 | web/index.html:425
index.적어_둔_내용은_그대로_두고_토리_분석만_보,"적어 둔 내용은 그대로 두고, 토리 분석만 보여 줍니다",34,web/index.html:621 | web/index.html:621 | web/index.html:626 | web/index.html:626 | web/index.html:631
app.토리에게_물어보기,토리에게 물어보기,25,web/app.js:9144 | web/app.js:9238 | web/app.js:9340 | web/app.js:9623 | web/app.js:9739
app.기타,기타,24,web/app.js:755 | web/app.js:798 | web/app.js:5563 | web/app.js:5584 | web/app.js:5598
app.결과_없음,(결과 없음),21,web/app.js:9132 | web/app.js:9328 | web/app.js:9611 | web/app.js:9727 | web/app.js:9814
app.제목_없음,제목 없음,20,web/app.js:6457 | web/app.js:6457 | web/app.js:8353 | web/app.js:18488 | web/app.js:24301
app.저장,저장,20,web/app.js:17181 | web/app.js:24357 | web/app.js:24490 | web/app.js:25678 | web/app.js:29134
index.끌어_순서_변경,끌어 순서 변경,20,web/index.html:402 | web/index.html:402 | web/index.html:421 | web/index.html:421 | web/index.html:452
app.확인,확인,18,web/app.js:20328 | web/app.js:20336 | web/app.js:20343 | web/app.js:20350 | web/app.js:20365
index.새_분석_있음,새 분석 있음,17,web/index.html:621 | web/index.html:626 | web/index.html:631 | web/index.html:640 | web/index.html:645
app.원고,원고,14,web/app.js:13475 | web/app.js:26175 | web/app.js:26179 | web/app.js:26552 | web/app.js:26553
app.줄간격,줄간격,13,web/app.js:3242 | web/index.html:1151 | web/index.html:1151 | web/index.html:1152 | web/index.html:1152
app.소통방으로,소통방으로,13,web/app.js:14483 | web/index.html:2610 | web/index.html:2610 | web/index.html:2610 | web/index.html:2610
app.북마크,북마크,13,web/app.js:26741 | web/app.js:26814 | web/app.js:26814 | web/app.js:26930 | web/index.html:1412
app.이전,이전,12,web/app.js:22638 | web/app.js:22640 | web/app.js:42136 | web/app.js:48019 | web/index.html:1078
app.현재_2,· 현재,11,web/app.js:8860 | web/app.js:8888 | web/app.js:9369 | web/app.js:9397 | web/app.js:10259
app.ep_index_화_ep_label_ep,${ep.index}화 · ${ep.label || ep.shortLabel || id}${mark},11,web/app.js:8861 | web/app.js:8889 | web/app.js:9370 | web/app.js:9398 | web/app.js:10260
app.목록으로,목록으로,11,web/app.js:22626 | web/app.js:22628 | web/app.js:22630 | web/app.js:22632 | web/app.js:22634
app.작가_메모,작가 메모,11,web/app.js:30751 | web/app.js:30778 | web/app.js:30779 | web/app.js:30788 | web/app.js:30789
app.본문,본문,10,web/app.js:3310 | web/app.js:31050 | web/app.js:31350 | web/app.js:31387 | web/app.js:31388
app.분석,분석 ▾,10,web/app.js:9140 | web/app.js:9234 | web/app.js:9336 | web/app.js:9619 | web/app.js:9735
app.먼저_목차에서_씬_하나를_열어_주세요,먼저 목차에서 씬 하나를 열어 주세요.,10,web/app.js:9923 | web/app.js:10125 | web/app.js:30953 | web/app.js:31040 | web/app.js:31142
app.만들기,만들기,10,web/app.js:36486 | web/app.js:36497 | web/app.js:36545 | web/app.js:37801 | web/app.js:37843
index.저장_자동_저장됨,저장 (자동 저장됨),10,web/index.html:434 | web/index.html:434 | web/index.html:442 | web/index.html:442 | web/index.html:465
index.이_기능_숨기기,이 기능 숨기기,10,web/index.html:4452 | web/index.html:4573 | web/index.html:4590 | web/index.html:4611 | web/index.html:4626
app.글꼴,글꼴,9,web/app.js:3240 | web/index.html:1131 | web/index.html:1131 | web/index.html:1131 | web/index.html:1131
app.장르,장르,9,web/app.js:5770 | web/app.js:6212 | web/app.js:6217 | web/app.js:6270 | web/index.html:503
app.자동_저장,자동 저장,9,web/app.js:7914 | web/app.js:8049 | web/app.js:42100 | web/app.js:42316 | web/app.js:43042
app.무엇을_도와드릴까요,무엇을 도와드릴까요?,9,web/app.js:12262 | web/app.js:12265 | web/app.js:12367 | web/app.js:12368 | web/app.js:12370
app.진단으로,진단으로,9,web/app.js:22626 | web/app.js:22628 | web/app.js:22630 | web/app.js:22632 | web/app.js:22634
app.목차,목차,9,web/app.js:36924 | web/app.js:47950 | web/index.html:330 | web/index.html:382 | web/index.html:382
index.선택한_키워드,선택한 키워드,9,web/index.html:573 | web/index.html:573 | web/index.html:1015 | web/index.html:1016 | web/index.html:1016
app.노랑,노랑,8,web/app.js:1240 | web/app.js:3649 | web/app.js:8274 | web/app.js:18689 | web/index.html:4529
app.파랑,파랑,8,web/app.js:1244 | web/app.js:3648 | web/app.js:8276 | web/app.js:18692 | web/index.html:4531
app.초록,초록,8,web/app.js:1246 | web/app.js:3650 | web/app.js:8277 | web/app.js:18690 | web/index.html:4530
app.option_value_열_수_있는_회차가,"<option value="""">열 수 있는 회차가 없어요</option>",8,web/app.js:8855 | web/app.js:9364 | web/app.js:10254 | web/app.js:10384 | web/app.js:10512
